Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,61,32,25,33,30,29,26
7:00 AM,81,87,80,63,95,38,35
8:00 AM,393,366,366,354,353,132,43
9:00 AM,540,566,516,533,529,176,60
10:00 AM,478,439,497,546,482,97,75
11:00 AM,373,410,357,437,355,153,77
12:00 PM,487,409,449,509,513,185,68
1:00 PM,428,403,439,387,334,158,105
2:00 PM,384,369,288,340,318,137,96
3:00 PM,391,353,324,357,301,188,105
4:00 PM,393,383,385,399,457,155,81
5:00 PM,403,423,407,475,487,171,87
6:00 PM,618,517,577,624,516,149,104
7:00 PM,498,458,486,475,410,108,70
8:00 PM,341,318,319,333,358,96,59
9:00 PM,228,297,304,240,222,116,59
10:00 PM,162,164,179,177,211,56,58
11:00 PM,108,173,110,147,107,67,56
12:00 AM,35,83,89,71,74,68,43
1:00 AM,29,45,41,46,62,57,31
2:00 AM,22,43,31,31,25,43,32
3:00 AM,25,39,33,26,28,34,29
4:00 AM,25,28,23,23,28,29,25
5:00 AM,24,23,23,19,20,27,24
