Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,58,30,29,35,53,20,13
7:00 AM,116,118,110,119,148,25,18
8:00 AM,661,670,679,627,739,22,19
9:00 AM,789,771,920,814,844,39,23
10:00 AM,842,832,973,858,836,57,48
11:00 AM,1005,991,987,974,1043,75,46
12:00 PM,1578,1532,1642,1510,1601,105,44
1:00 PM,1151,1142,1165,1023,1250,78,46
2:00 PM,1025,919,987,1041,961,61,49
3:00 PM,973,832,832,865,870,39,53
4:00 PM,725,793,733,792,757,65,45
5:00 PM,551,554,553,602,558,49,37
6:00 PM,453,464,436,509,453,39,40
7:00 PM,271,325,322,300,293,24,58
8:00 PM,110,146,142,165,140,46,13
9:00 PM,57,71,88,83,62,27,19
10:00 PM,33,64,68,55,34,24,14
11:00 PM,35,44,35,40,24,16,11
12:00 AM,15,60,34,39,45,20,20
1:00 AM,11,26,26,27,38,15,17
2:00 AM,17,43,42,40,47,25,21
3:00 AM,10,29,24,28,36,13,11
4:00 AM,11,28,26,30,38,16,14
5:00 AM,13,28,26,27,44,14,13
