Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,19,26,33,27,36,31,12
7:00 AM,88,72,80,90,109,88,19
8:00 AM,213,256,246,180,227,20
9:00 AM,310,379,361,342,387,367,43
10:00 AM,361,349,306,367,368,348,57
11:00 AM,363,362,300,337,349,337,91
12:00 PM,453,473,441,519,409,461,82
1:00 PM,403,370,419,438,382,402,114
2:00 PM,357,317,370,357,294,335,85
3:00 PM,306,262,240,280,237,255,94
4:00 PM,374,361,311,362,346,345,70
5:00 PM,370,346,402,356,376,370,70
6:00 PM,380,424,468,408,429,432,76
7:00 PM,310,272,290,311,287,290,74
8:00 PM,267,151,182,206,160,175,37
9:00 PM,224,141,150,199,159,162,33
10:00 PM,87,109,90,125,128,113,25
11:00 PM,33,33,47,49,56,46,22
12:00 AM,13,19,17,18,32,22,18
1:00 AM,7,16,9,21,25,18,13
2:00 AM,7,19,8,25,26,20,6
3:00 AM,16,37,12,19,25,23,11
4:00 AM,21,23,17,23,33,24,10
5:00 AM,7,10,16,17,21,16,13
