Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,94,69,210,182,186,161,76
7:00 AM,172,116,264,252,257,177,105
8:00 AM,334,380,513,397,451,185,179
9:00 AM,569,577,654,611,543,247,168
10:00 AM,718,710,731,853,727,151,191
11:00 AM,886,867,886,909,836,172,193
12:00 PM,1307,1423,1308,1515,1241,244,208
1:00 PM,1035,1017,1171,1145,1085,222,186
2:00 PM,918,1087,983,1103,876,255,186
3:00 PM,726,1000,814,1006,794,183,214
4:00 PM,864,950,891,1015,744,193,216
5:00 PM,765,805,889,843,743,209,180
6:00 PM,758,934,922,993,822,246,172
7:00 PM,611,680,610,842,508,183,185
8:00 PM,423,462,466,565,352,197,155
9:00 PM,329,434,362,360,266,180,134
10:00 PM,258,303,267,322,231,141,128
11:00 PM,208,219,223,240,176,112,125
12:00 AM,93,71,200,199,212,190,88
1:00 AM,89,67,183,184,215,178,91
2:00 AM,94,65,202,191,207,168,97
3:00 AM,92,61,205,177,202,163,126
4:00 AM,96,56,200,185,214,159,108
5:00 AM,95,65,199,184,202,164,92
