Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,184,196,118,174,169,137,55
7:00 AM,428,408,342,419,385,249,89
8:00 AM,765,731,723,701,746,402,150
9:00 AM,810,917,874,934,915,363,159
10:00 AM,822,797,702,788,763,321,186
11:00 AM,729,800,790,949,758,402,177
12:00 PM,1104,1118,1193,1261,1205,503,231
1:00 PM,832,898,1038,979,825,465,259
2:00 PM,752,660,555,690,620,406,208
3:00 PM,624,653,685,721,628,331,248
4:00 PM,773,813,711,770,757,332,207
5:00 PM,919,898,937,879,949,287,178
6:00 PM,1003,1056,1053,1033,1002,212,163
7:00 PM,580,650,509,538,553,248,125
8:00 PM,360,431,362,351,305,144,125
9:00 PM,259,299,265,298,252,156,98
10:00 PM,134,151,146,146,209,77,58
11:00 PM,80,71,76,78,98,59,52
12:00 AM,29,48,56,54,46,64,56
1:00 AM,28,33,36,32,36,53,38
2:00 AM,21,27,29,37,31,32,33
3:00 AM,71,80,42,69,69,79,24
4:00 AM,100,111,70,119,122,110,30
5:00 AM,142,124,74,126,135,110,26
